,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
125,1117,1300,45.7253102173,5.60442351043,Conzieu,Ain,Auvergne-Rhône-Alpes
126,1118,1420,45.9659473187,5.78961970355,Corbonod,Ain,Auvergne-Rhône-Alpes
127,1121,1110,46.0336885573,5.49635755029,Corlier,Ain,Auvergne-Rhône-Alpes
128,1122,1110,45.9442772826,5.60860828487,Cormaranche-en-Bugey,Ain,Auvergne-Rhône-Alpes
129,1123,1290,46.2403530179,4.8276569593,Cormoranche-sur-Saône,Ain,Auvergne-Rhône-Alpes
130,1124,1560,46.4336632942,5.22181275755,Cormoz,Ain,Auvergne-Rhône-Alpes
131,1125,1250,46.2505107235,5.47152467919,Corveissiat,Ain,Auvergne-Rhône-Alpes
132,1127,1370,46.3267864521,5.35558241812,Courmangoux,Ain,Auvergne-Rhône-Alpes
133,1128,1560,46.4570082032,5.11128546723,Courtes,Ain,Auvergne-Rhône-Alpes
134,1129,1320,45.9663793103,5.19490390871,Crans,Ain,Auvergne-Rhône-Alpes
135,1130,1340,46.3130831891,5.17796707174,Cras-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes
136,1133,1350,45.7826434885,5.76546256637,Cressin-Rochefort,Ain,Auvergne-Rhône-Alpes
137,1134,1290,46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes
138,1134,1750,46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes
139,1135,1170,46.2915659686,5.99510417092,Crozet,Ain,Auvergne-Rhône-Alpes
140,1136,1290,46.2220588715,4.8752193513,Cruzilles-lès-Mépillat,Ain,Auvergne-Rhône-Alpes
141,1138,1350,45.8559966843,5.78398308932,Culoz,Ain,Auvergne-Rhône-Alpes
142,1139,1560,46.4885456881,5.16344336837,Curciat-Dongalon,Ain,Auvergne-Rhône-Alpes
143,1140,1310,46.273150382,5.1020896267,Curtafond,Ain,Auvergne-Rhône-Alpes
144,1141,1300,45.8200002803,5.6765554896,Cuzieu,Ain,Auvergne-Rhône-Alpes
145,1142,1120,45.8531616918,5.07289166803,Dagneux,Ain,Auvergne-Rhône-Alpes
146,1143,1220,46.3756333495,6.1158647611,Divonne-les-Bains,Ain,Auvergne-Rhône-Alpes
147,1144,1380,46.33627762,4.99863894,Dommartin,Ain,Auvergne-Rhône-Alpes
148,1145,1240,46.0667883703,5.21665199666,Dompierre-sur-Veyle,Ain,Auvergne-Rhône-Alpes
149,1146,1400,46.1415406621,4.90141714714,Dompierre-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes
150,1147,1270,46.4244066427,5.29313479651,Domsure,Ain,Auvergne-Rhône-Alpes
151,1148,1590,46.3133221173,5.64146584117,Dortan,Ain,Auvergne-Rhône-Alpes
152,1149,1500,45.984297392,5.37106901673,Douvres,Ain,Auvergne-Rhône-Alpes
153,1150,1250,46.2196603059,5.36799994918,Drom,Ain,Auvergne-Rhône-Alpes
154,1151,1160,46.067579544,5.29361666429,Druillat,Ain,Auvergne-Rhône-Alpes
155,1152,1130,46.2271364137,5.73330448395,Échallon,Ain,Auvergne-Rhône-Alpes
156,1153,1170,46.3160845207,6.01926187996,Échenevex,Ain,Auvergne-Rhône-Alpes
157,1154,1340,46.3380891758,5.19286414645,Étrez,Ain,Auvergne-Rhône-Alpes
158,1155,1230,45.965147537,5.50283599885,Évosges,Ain,Auvergne-Rhône-Alpes
159,1156,1800,45.9104942091,5.1249258559,Faramans,Ain,Auvergne-Rhône-Alpes
160,1157,1480,46.020997974,4.7620080898,Fareins,Ain,Auvergne-Rhône-Alpes
161,1158,1550,46.166230455,5.90019477201,Farges,Ain,Auvergne-Rhône-Alpes
162,1159,1570,46.3365833672,4.88507050971,Feillens,Ain,Auvergne-Rhône-Alpes
163,1160,1210,46.2519789243,6.10826403805,Ferney-Voltaire,Ain,Auvergne-Rhône-Alpes
164,1162,1350,45.8113298005,5.74459048839,Flaxieu,Ain,Auvergne-Rhône-Alpes
165,1163,1340,46.3784759782,5.18483641417,Foissiat,Ain,Auvergne-Rhône-Alpes
166,1165,1090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
167,1165,1090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
168,1165,1090,46.0735946256,4.81293575559,Francheleins,Ain,Auvergne-Rhône-Alpes
169,1166,1480,45.9939065077,4.78033196905,Frans,Ain,Auvergne-Rhône-Alpes
170,1167,1140,46.2136224825,4.82843188743,Garnerans,Ain,Auvergne-Rhône-Alpes
171,1169,1090,46.1201611728,4.79288195016,Genouilleux,Ain,Auvergne-Rhône-Alpes
172,1170,1460,46.1896733539,5.55139781353,Béard-Géovreissiat,Ain,Auvergne-Rhône-Alpes
173,1171,1100,46.2508621615,5.61271973915,Géovreisset,Ain,Auvergne-Rhône-Alpes
174,1172,1250,46.3054983344,5.45012798616,Germagnat,Ain,Auvergne-Rhône-Alpes
175,1173,1170,46.3471891747,6.04650555568,Gex,Ain,Auvergne-Rhône-Alpes
176,1174,1130,46.2227121191,5.78049809256,Giron,Ain,Auvergne-Rhône-Alpes
177,1175,1190,46.414943437,4.95120595427,Gorrevod,Ain,Auvergne-Rhône-Alpes
178,1177,1250,46.207387937,5.43318666027,Grand-Corent,Ain,Auvergne-Rhône-Alpes
179,1179,1290,46.2633634407,4.84621318847,Grièges,Ain,Auvergne-Rhône-Alpes
180,1180,1220,46.3318810665,6.11366767978,Grilly,Ain,Auvergne-Rhône-Alpes
181,1181,1100,46.2260039429,5.61095413441,Groissiat,Ain,Auvergne-Rhône-Alpes
182,1183,1090,46.106624674,4.78159420118,Guéreins,Ain,Auvergne-Rhône-Alpes
183,1184,1250,46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes
184,1184,1250,46.1611241927,5.42944457639,Hautecourt-Romanèche,Ain,Auvergne-Rhône-Alpes
185,1185,1110,45.9696520061,5.57627261783,Hauteville-Lompnes,Ain,Auvergne-Rhône-Alpes
186,1186,1110,45.9061631889,5.54077986031,Hostiaz,Ain,Auvergne-Rhône-Alpes
187,1187,1260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
188,1187,1260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
189,1187,1260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
190,1187,1260,46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
191,1188,1140,46.1866986838,4.88840344003,Illiat,Ain,Auvergne-Rhône-Alpes
192,1189,1200,46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes
193,1189,1200,46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes
